Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-10-26,4564.75,4590.0,4560.75,4565.25,1257346,15.020000457763672,16.709999084472656,14.899999618530273,15.979999542236328,2,10,26
2021-10-27,4563.75,4576.75,4543.75,4544.5,1263181,15.789999961853027,17.290000915527344,15.539999961853027,16.979999542236328,3,10,27
2021-10-28,4548.75,4589.75,4545.25,4587.5,1195785,17.059999465942383,17.15999984741211,16.229999542236328,16.530000686645508,4,10,28
2021-10-29,4577.0,4603.5,4559.25,4597.0,1418280,17.399999618530273,18.059999465942383,16.1299991607666,16.260000228881836,5,10,29
2021-11-01,4608.0,4619.5,4586.5,4605.75,1071118,16.850000381469727,17.700000762939453,16.31999969482422,16.40999984741211,1,11,1
2021-11-02,4605.75,4627.0,4593.25,4623.5,980833,16.540000915527344,16.649999618530273,15.890000343322754,16.030000686645508,2,11,2
2021-11-03,4621.25,4657.0,4613.0,4652.25,1074650,16.110000610351562,16.389999389648438,14.899999618530273,15.100000381469727,3,11,3
2021-11-04,4651.5,4676.25,4650.75,4673.25,1169886,15.0600004196167,16.139999389648438,14.729999542236328,15.4399995803833,4,11,4
2021-11-05,4671.75,4711.75,4667.5,4690.25,1459142,15.59000015258789,17.020000457763672,14.949999809265137,16.479999542236328,5,11,5
2021-11-08,4678.5,4707.0,4676.25,4694.0,1000404,17.229999542236328,17.690000534057617,16.440000534057617,17.219999313354492,1,11,8
2021-11-09,4690.75,4700.5,4663.25,4678.25,1289857,17.43000030517578,18.56999969482422,17.209999084472656,17.780000686645508,2,11,9
2021-11-10,4674.75,4680.25,4625.25,4642.0,1639098,17.739999771118164,19.899999618530273,17.219999313354492,18.729999542236328,3,11,10
2021-11-11,4645.0,4661.5,4638.0,4643.0,936857,18.34000015258789,18.389999389648438,17.270000457763672,17.65999984741211,4,11,11
2021-11-12,4647.0,4685.5,4643.75,4678.25,1155591,17.489999771118164,17.690000534057617,16.149999618530273,16.290000915527344,5,11,12
2021-11-15,4684.75,4697.5,4667.0,4679.0,1047123,17.030000686645508,17.459999084472656,16.489999771118164,16.489999771118164,1,11,15
2021-11-16,4680.75,4709.75,4670.75,4696.0,1043587,16.860000610351562,17.079999923706055,16.030000686645508,16.3700008392334,2,11,16
2021-11-17,4696.5,4701.0,4679.25,4686.25,1056696,16.360000610351562,17.190000534057617,16.280000686645508,17.110000610351562,3,11,17
2021-11-18,4685.25,4706.5,4668.0,4701.5,1168195,16.809999465942383,18.149999618530273,16.3799991607666,17.59000015258789,4,11,18
2021-11-19,4705.25,4723.5,4684.25,4694.5,1344893,17.360000610351562,19.010000228881836,17.229999542236328,17.90999984741211,5,11,19
2021-11-22,4701.0,4740.5,4674.25,4679.75,1685386,18.200000762939453,19.59000015258789,17.350000381469727,19.170000076293945,1,11,22
2021-11-23,4686.0,4695.5,4649.0,4688.5,1872492,20.239999771118164,20.90999984741211,19.030000686645508,19.3799991607666,2,11,23
2021-11-24,4686.25,4702.25,4656.25,4699.0,1408571,19.170000076293945,20.959999084472656,18.520000457763672,18.579999923706055,3,11,24
